nameBold,nameThin,producer,year,alcoholPercentage,volume,price,country,region,district,type,categoryTaste,usage,taste,tasteBitter,tasteSweetness,tasteFruitAcid,tasteBody,tasteRoughness,url,imageURL,grapes
Veaupessiot,,Gabin et Felix Richoux,2015,13.0,750.0,279.0,Frankrike,Bourgogne,Irancy,Rött vin,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/veaupessiot-9330301,https://product-cdn.systembolaget.se/productimages/24538367/24538367,Pinot noir
Borgogno,Barolo Classico,Giacomo Borgogno,2015,13.5,750.0,469.0,Italien,Piemonte,Barolo,Rött vin,Stramt & Nyanserat,Serveras vid cirka 18°C till rätter av mörkt kött.,"Nyanserad, kryddig smak med inslag av fat, inslag av torkade körsbär, rosor, ceder, pomerans, kanel, apelsinskal och tobak.",0.0%,0.0%,83.33333333333334%,75.0%,83.33333333333334%,https://www.systembolaget.se/produkt/vin/borgogno-7658401,https://product-cdn.systembolaget.se/productimages/12038087/12038087,Nebbiolo
Poliziano,Vino Nobile di Montepulciano,Azienda Agricola Poliziano,2017,14.0,750.0,229.0,Italien,Toscana,Vino Nobile di Montepulciano,Rött vin,Stramt & Nyanserat,Serveras vid cirka 18°C till rätter av mörkt kött.,"Nyanserad, kryddig smak med rostad fatkaraktär, inslag av mörka körsbär, choklad, plommon, nougat, ceder och vanilj.",0.0%,0.0%,83.33333333333334%,75.0%,83.33333333333334%,https://www.systembolaget.se/produkt/vin/poliziano-9263101,https://product-cdn.systembolaget.se/productimages/24393720/24393720,Sangiovese
Juliusspital Würzburger Stein,Riesling Erste Lage,Juliusspital,2018,12.5,750.0,199.0,Tyskland,Franken,,Vitt vin,Friskt & Fruktigt,"Serveras vid 8-10°C som aperitif, eller till rätter av fisk och skaldjur.","Nyanserad, aromatisk, mycket frisk smak med inslag av gröna äpplen, mineral krusbär, färska örter och citron.",0.0%,8.333333333333332%,83.33333333333334%,33.33333333333333%,0.0%,https://www.systembolaget.se/produkt/vin/juliusspital-würzburger-stein-9059001,https://sb-product-media-prod.azureedge.net/productimages/24465582/24465582,Riesling
Heytesbury Chardonnay,Vasse Felix,Vasse Felix,2018,13.0,750.0,499.0,Australien,Western Australia,South West Australia,Vitt vin,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/heytesbury-chardonnay-9518201,https://product-cdn.systembolaget.se/productimages/24477987/24477987,Chardonnay
Altair,,Viña San Pedro,2016,14.5,750.0,549.0,Chile,Valle Central,Rapel,Rött vin,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/altair-9035401,,Cabernet sauvignon---Cabernet franc---Syrah
Arilds Vingård,Solaris Muscaris,Arilds vingård,2019,11.0,750.0,121.0,Sverige,Skåne län,Höganäs kommun,Vitt vin,Friskt & Fruktigt,"Serveras vid 8-10°C som aperitif eller till rätter av fisk eller skaldjur, eller till sallader.","Fruktig, mycket frisk, nyanserad smak med inslag av gröna äpplen, krusbär, persika, fläder och lime.",0.0%,8.333333333333332%,83.33333333333334%,41.66666666666667%,0.0%,https://www.systembolaget.se/produkt/vin/arilds-vingård-3488701,https://sb-product-media-prod.azureedge.net/productimages/24486955/24486955,Solaris
Il Cuore Per Martina,Appassimento,Brandpartners AB,2018,14.0,750.0,79.0,Italien,Venetien,,Rött vin,Kryddigt & Mustigt,Serveras vid 16-18°C till rätter av lamm- och nötkött.,"Kryddig, fruktig smak med inslag av fat, mörka körsbär, salvia, korinter, choklad, kanel och vanilj.",0.0%,0.0%,75.0%,66.66666666666666%,58.333333333333336%,https://www.systembolaget.se/produkt/vin/il-cuore-per-martina-224101,https://product-cdn.systembolaget.se/productimages/639124/639124,Merlot
Bedstekilde,0003,Bedstekilde-Vin av Äpplen,2017,10.5,750.0,149.0,Sverige,,,Aperitif & Dessert,Smaksatta viner & fruktviner,Serveras vid 8-10°C till lättare rätter av fisk eller kyckling.,"Fruktig, mycket frisk smak med inslag av röda äpplen, citron, vanilj och örter.",0.0%,8.333333333333332%,83.33333333333334%,25.0%,0.0%,https://www.systembolaget.se/produkt/vin/bedstekilde-9210101,https://product-cdn.systembolaget.se/productimages/7682272/7682272,
Albert Bichot Meursault 1er Cru,Les Charmes - Domaine du Pavillon,Maison Albert Bichot,2018,13.0,750.0,749.0,Frankrike,Bourgogne,Côte de Beaune,Vitt vin,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/albert-bichot-meursault-1er-cru-9214501,https://product-cdn.systembolaget.se/productimages/24524656/24524656,Chardonnay
Dalmau,,Marques de Murrieta,2016,14.5,750.0,749.0,Spanien,Rioja,,Rött vin,Stramt & Nyanserat,Serveras vid cirka 18°C till rätter av mörkt kött.,"Komplex smak med tydlig fatkaraktär, inslag av mörka körsbär, tobak, svarta vinbär, kakao, plommon, ceder, kanel och vanilj.",0.0%,0.0%,83.33333333333334%,83.33333333333334%,83.33333333333334%,https://www.systembolaget.se/produkt/vin/dalmau-9229001,https://sb-product-media-prod.azureedge.net/productimages/24443886/24443886,Tempranillo---Cabernet sauvignon---Graciano
Lill-Ego,,Vingården i Klagshamn,,14.5,750.0,290.0,Sverige,Skåne län,Malmö stad,Vitt vin,Fylligt & Smakrikt,Serveras vid 8-10°C till rätter av fisk eller ljust kött.,"Nyanserad, fruktig, mycket frisk smak med fatkaraktär, inslag av röda äpplen, torkade aprikoser, nötter, pomerans och kardemumma.",0.0%,8.333333333333332%,83.33333333333334%,50.0%,0.0%,https://www.systembolaget.se/produkt/vin/lill-ego-9260801,https://product-cdn.systembolaget.se/productimages/24526838/24526838,
Bourgogne Rouge,Lucien le Moine,Lucien Le Moine,2017,13.0,750.0,429.0,Frankrike,Bourgogne,,Rött vin,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/bourgogne-rouge-9264701,https://product-cdn.systembolaget.se/productimages/24527251/24527251,Pinot noir
Quinta do Mouro White,Miguel Louro,Quinto do Mouro,2017,12.0,750.0,299.0,Portugal,Alentejo,Alentejano,Vitt vin,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/quinta-do-mouro-white-9268601,https://product-cdn.systembolaget.se/productimages/24530029/24530029,Verdelho---Arinto---Alvarinho
Viña Ardanza Reserva Selección Especial,La Rioja Alta S.A.,La Rioja Alta,2010,13.5,750.0,269.0,Spanien,Rioja,,Rött vin,Kryddigt & Mustigt,Serveras vid 16-18°C till rätter av mörkt kött.,"Nyanserad, kryddig, utvecklad smak med fatkaraktär, inslag av torkade plommon, kakao, hasselnötter, tobak, ceder, svartpeppar och vanilj.",0.0%,0.0%,75.0%,75.0%,66.66666666666666%,https://www.systembolaget.se/produkt/vin/viña-ardanza-reserva-selección-especial-9500801,https://sb-product-media-prod.azureedge.net/productimages/24450473/24450473,Tempranillo---Grenache
Juliusspital Würzburger Stein Riesling Grosses Gew,Juliusspital,Juliusspital,2017,12.5,750.0,379.0,Tyskland,Franken,,Vitt vin,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/juliusspital-würzburger-stein-riesling-grosses-gew-9505401,https://sb-product-media-prod.azureedge.net/productimages/24450857/24450857,Riesling
Sta. Rita Hills Estate,Melville,Melville Winery,2017,14.0,750.0,379.0,USA,Kalifornien,Central Coast,Vitt vin,Fylligt & Smakrikt,"Serveras vid 10-12°C till smakrika rätter av fisk eller till rätter av fågel-, fläsk- eller lammkött.","Komplex, fruktig, något utvecklad smak med rostad fatkaraktär, inslag av mango, torkad ananas, brynt smör, hasselnötter, kryddor och apelsin.",0.0%,8.333333333333332%,75.0%,58.333333333333336%,0.0%,https://www.systembolaget.se/produkt/vin/sta.-rita-hills-estate-9435501,https://sb-product-media-prod.azureedge.net/productimages/24454907/24454907,Chardonnay
Skepparps Grand Prix,Rose Halvtorr,Skepparps Vingård,2019,9.5,500.0,149.0,Sverige,Skåne län,Simrishamns kommun,Rosévin,Friskt & Bärigt,"Serveras vid 8-10°C som sällskapsdryck eller till rätter av fisk eller ljust kött, gärna sallader.","Bärig, mycket frisk smak med liten sötma, inslag av körsbär, mandel, röda vinbär, örter och blodapelsin.",0.0%,25.0%,83.33333333333334%,41.66666666666667%,0.0%,https://www.systembolaget.se/produkt/vin/skepparps-grand-prix-3481602,https://sb-product-media-prod.azureedge.net/productimages/24474159/24474159,Cabernet cortis---Rondo
Fritz,Russian River Chardonnay,Fritz Winery,2016,14.5,750.0,349.0,USA,Kalifornien,North Coast,Vitt vin,Fylligt & Smakrikt,"Serveras vid 10-12°C till rätter av fisk eller fågel-, fläsk- eller lammkött.","Komplex, fruktig, mycket frisk smak med rostad fatkaraktär, inslag av gula äpplen, brynt smör, apelsin, nektarin, kryddor och vanilj.",0.0%,8.333333333333332%,83.33333333333334%,58.333333333333336%,0.0%,https://www.systembolaget.se/produkt/vin/fritz-664901,https://product-cdn.systembolaget.se/productimages/18204509/18204509,Chardonnay
Gramona III Lustros,Gran Reserva,Cava Gramona sa,2012,12.0,750.0,349.0,Spanien,,,Mousserande vin,,"Serveras vid 8-10°C som aperitif, eller till rätter fisk och skaldjur.","Nyanserad, något utvecklad, mycket frisk smak med inslag av gula äpplen, rostat bröd, persika, mineral, vit choklad, nötter och grapefrukt.",0.0%,8.333333333333332%,83.33333333333334%,50.0%,0.0%,https://www.systembolaget.se/produkt/vin/gramona-iii-lustros-9274401,https://product-cdn.systembolaget.se/productimages/24399756/24399756,
Kunin Wines,Phoebe 2.0,Kunin Wines,2018,13.5,750.0,249.0,USA,Kalifornien,Central Coast,Rosévin,Friskt & Bärigt,"Serveras vid 8-10°C som sällskapsdryck, till fisk- och kycklingrätter eller sallader.","Bärig, mycket frisk smak med inslag av smultron, örter, rabarber, mineral, vattenmelon och blodgrapefrukt.",0.0%,8.333333333333332%,83.33333333333334%,33.33333333333333%,0.0%,https://www.systembolaget.se/produkt/vin/kunin-wines-9402801,https://product-cdn.systembolaget.se/productimages/21100165/21100165,Grenache
Grand Minéral,Chardonnay,Domaine Maire & Fils,2019,13.5,750.0,109.0,Frankrike,Jura,Côtes du Jura,Vitt vin,Friskt & Fruktigt,"Serveras vid 8-10°C till rätter av fisk och skaldjur, eller till vegetariska rätter.","Nyanserad, fruktig, mycket frisk smak med inslag av gula äpplen, färska örter, nektarin, mineral och citron.",0.0%,8.333333333333332%,83.33333333333334%,33.33333333333333%,0.0%,https://www.systembolaget.se/produkt/vin/grand-minéral-7274301,https://product-cdn.systembolaget.se/productimages/23475466/23475466,Chardonnay
Chablis 1er Cru Mont de Milieu,Domaine Billaud-Simon,Domaine Billaud-Simon,2018,13.0,750.0,379.0,Frankrike,Bourgogne,Chablis,Vitt vin,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/chablis-1er-cru-mont-de-milieu-9542001,,Chardonnay
Clos Apalta,Lapostolle Wines,Lapostolle,2017,15.0,750.0,1259.0,Chile,Valle Central,Rapel,Rött vin,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/clos-apalta-9548301,,Carmenère---Cabernet sauvignon---Merlot---Petit verdot
Mount Eden Estate Chardonnay,Mount Eden Vineyards,Mount Eden Vineyards,2017,13.5,750.0,549.0,USA,Kalifornien,Central Coast,Vitt vin,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/mount-eden-estate-chardonnay-9548401,,Chardonnay
Veronica Ortega,VO,Veronica Ortega Camacho,2017,13.5,750.0,259.0,Spanien,Kastilien-León,Bierzo,Rött vin,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/veronica-ortega-9320601,,Mencía
Gattinara Riserva,Osso San Grato,Antoniolo,2015,14.5,750.0,625.0,Italien,Piemonte,Gattinara,Rött vin,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/gattinara-riserva-9128101,,Nebbiolo
Alheit Nautical Dawn,,Alheit Vineyards,2019,13.0,750.0,329.0,Sydafrika,Western Cape,Coastal Region,Vitt vin,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/alheit-nautical-dawn-9325601,,Chenin blanc
Fleur de Passion,,Diebolt-Vallois,2012,12.5,750.0,999.0,Frankrike,Champagne,,Mousserande vin,Torrt vitt,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/fleur-de-passion-9331601,,Chardonnay
Taboadella,Jaen Reserva Red,Taboadella,2018,14.0,750.0,219.0,Portugal,Dão,,Rött vin,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/taboadella-9332301,,Jaen
Ceretto Barbaresco,,Ceretto,2017,13.5,750.0,449.0,Italien,Piemonte,Barbaresco,Rött vin,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/ceretto-barbaresco-9339801,https://product-cdn.systembolaget.se/productimages/24543936/24543936,Nebbiolo
Beaujolais-Villages,Blanc,Domaine Jules Desjourneys,2017,13.0,750.0,269.0,Frankrike,Bourgogne,Beaujolais,Vitt vin,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/beaujolais-villages-9248201,,Chardonnay
La Rioja Alta,Gran Reserva 890,La Rioja Alta,2005,13.5,750.0,1190.0,Spanien,Rioja,,Rött vin,Kryddigt & Mustigt,Serveras vid cirka 18°C till rätter av mörkt kött.,"Mogen, komplex smak med fatkaraktär, inslag av torkade körsbär, tobak, korinter, kakao, ceder, pomerans, kanel och nötter.",0.0%,0.0%,75.0%,66.66666666666666%,75.0%,https://www.systembolaget.se/produkt/vin/la-rioja-alta-9238401,https://product-cdn.systembolaget.se/productimages/24500800/24500800,Tempranillo---Graciano---Mazuelo
Rings,Saumagen Spätburgunder GG,Weingut Rings,2017,13.0,750.0,549.0,Tyskland,Pfalz,,Rött vin,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/rings-9313601,https://product-cdn.systembolaget.se/productimages/24504039/24504039,Spätburgunder
Viña Tondonia,Reserva Blanco,R López de Heredia Viña Tondonia,2008,12.5,750.0,349.0,Spanien,Rioja,,Vitt vin,Fylligt & Smakrikt,Serveras vid 10-12°C till rätter av ljust kött eller till lammkött.,"Mogen, nyanserad, mycket frisk smak med fatkaraktär, inslag av torkade äpplen, nötter, kardemumma, aprikos och apelsinskal.",0.0%,8.333333333333332%,83.33333333333334%,50.0%,0.0%,https://www.systembolaget.se/produkt/vin/viña-tondonia-9180401,https://product-cdn.systembolaget.se/productimages/24522779/24522779,
Beaujolais-Villages,Blanc,Domaine Jules Desjourneys,2017,13.0,750.0,269.0,Frankrike,Bourgogne,Beaujolais,Vitt vin,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/beaujolais-villages-9248201,,Chardonnay
Weninger Steiner,Kékfrankos,Weingut Weninger,2015,13.0,750.0,308.0,Ungern,North Transdanubia,Sopron,Rött vin,Kryddigt & Mustigt,Serveras vid 16-18°C till rätter av lamm- och nötkött.,"Kryddig, nyanserad smak med inslag av mörka körsbär, lavendel, skogshallon, svartpeppar, blåbär, rökig mineral, kryddnejlika och blodapelsin.",0.0%,0.0%,83.33333333333334%,66.66666666666666%,75.0%,https://www.systembolaget.se/produkt/vin/weninger-steiner-9259901,https://product-cdn.systembolaget.se/productimages/24349230/24349230,
Macán Clásico,,Bodegas Benjamin de Rothschild Vega Sicilia,2016,14.5,750.0,379.0,Spanien,Rioja,,Rött vin,Stramt & Nyanserat,Serveras vid cirka 18°C till rätter av mörkt kött.,"Nyanserad, kryddig smak med tydlig fatkaraktär, inslag av mörka körsbär, kakao, plommon, kryddor, fikon, kaffe, tobak och vanilj.",0.0%,0.0%,75.0%,75.0%,83.33333333333334%,https://www.systembolaget.se/produkt/vin/macán-clásico-9250901,https://product-cdn.systembolaget.se/productimages/24452889/24452889,Tempranillo
Grythyttan Rosé,,Grythyttan Vin,2019,12.5,750.0,123.0,Sverige,Örebro län,Hällefors kommun,Aperitif & Dessert,Smaksatta viner & fruktviner,"Serveras vid 8-10°C som sällskapsdryck, eller till rätter av fisk och kyckling.","Fruktig smak med inslag av röda äpplen, hallon, persika, örter och pomerans.",0.0%,16.666666666666664%,0.0%,50.0%,0.0%,https://www.systembolaget.se/produkt/vin/grythyttan-rosé-3454301,https://sb-product-media-prod.azureedge.net/productimages/24452944/24452944,
Piede Franco,Calabretta,Pro.Ma.T di Massimiliano Calabretta,2017,14.0,750.0,379.0,Italien,,,Rött vin,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/piede-franco-9243201,https://product-cdn.systembolaget.se/productimages/24478435/24478435,
Grand Minéral,Chardonnay,Domaine Maire & Fils,2019,13.5,750.0,109.0,Frankrike,Jura,Côtes du Jura,Vitt vin,Friskt & Fruktigt,"Serveras vid 8-10°C till rätter av fisk och skaldjur, eller till vegetariska rätter.","Nyanserad, fruktig, mycket frisk smak med inslag av gula äpplen, färska örter, nektarin, mineral och citron.",0.0%,8.333333333333332%,83.33333333333334%,33.33333333333333%,0.0%,https://www.systembolaget.se/produkt/vin/grand-minéral-7274301,https://product-cdn.systembolaget.se/productimages/23475466/23475466,Chardonnay
Rosemount,Diamond Blends GTR,Rosemount Estate,2019,10.0,750.0,72.0,Australien,South Eastern Australia,,Vitt vin,Druvigt & Blommigt,"Serveras vid cirka 8°C till exotiskt kryddade, grillade rätter av fisk eller ljust kött, gärna med inslag av tropisk frukt.","Druvig, blommig smak med sötma, inslag av litchi, gula päron, persika, apelsinskal och kryddor.",0.0%,50.0%,66.66666666666666%,41.66666666666667%,0.0%,https://www.systembolaget.se/produkt/vin/rosemount-609101,https://product-cdn.systembolaget.se/productimages/326598/326598,Riesling---Gewürztraminer
Domìni Veneti,Amarone Classico,Cantina Valpolicella Negrar,2015,15.0,750.0,209.0,Italien,Venetien,Valpolicella,Rött vin,Kryddigt & Mustigt,"Serveras vid cirka 18°C till rätter av mörkt kött, eller till lagrade hårdostar.","Kryddigt, smakrikt vin med inslag av fat, torkad frukt, svartpeppar, russin, choklad, vanilj, kanel och nötter.",0.0%,0.0%,75.0%,83.33333333333334%,75.0%,https://www.systembolaget.se/produkt/vin/domìni-veneti-2305001,https://product-cdn.systembolaget.se/productimages/49753/49753,Corvina veronese---Rondinella---Corvinone
Klagshamns Rosé,,Vingården i Klagshamn,2019,11.5,500.0,150.0,Sverige,Skåne län,Malmö stad,Rosévin,Friskt & Bärigt,"Serveras vid cirka 8°C som sällskapsdryck, till fisk- och kycklingrätter eller sallader.","Bärig, mycket frisk smak med inslag av jordgubbar, hallon, örter och blodgrapefrukt.",0.0%,8.333333333333332%,83.33333333333334%,41.66666666666667%,0.0%,https://www.systembolaget.se/produkt/vin/klagshamns-rosé-3277602,https://product-cdn.systembolaget.se/productimages/10833893/10833893,Rondo---Cabernet cortis
Voskì,Zorah,Zorah,2017,14.0,750.0,247.0,Armenien,,,Vitt vin,Friskt & Fruktigt,"Serveras vid 8-10°C till rätter av fisk och skaldjur, eller till kycklingrätter.","Nyanserad, fruktig, mycket frisk smak med inslag av gula plommon, rökig mineral, torkade örter, bivax, krusbär, vitpeppar och citron.",0.0%,8.333333333333332%,83.33333333333334%,41.66666666666667%,0.0%,https://www.systembolaget.se/produkt/vin/voskì-9510501,https://sb-product-media-prod.azureedge.net/productimages/24455322/24455322,
Morgon Côte du Py,Château des Jacques,Château des Jacques,2018,14.0,1500.0,559.0,Frankrike,Bourgogne,Beaujolais,Rött vin,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/morgon-côte-du-py-9519406,https://sb-product-media-prod.azureedge.net/productimages/24457360/24457360,Gamay
Hirsch San Andreas Fault,Pinot Noir,Hirsch Vineyards,2017,12.5,750.0,659.0,USA,Kalifornien,North Coast,Rött vin,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/hirsch-san-andreas-fault-9209601,https://product-cdn.systembolaget.se/productimages/24471097/24471097,Pinot noir
Barolo Ravera di Monforte,Piero Benevelli,Benevelli Piero,2016,14.5,750.0,449.0,Italien,Piemonte,Barolo,Rött vin,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/barolo-ravera-di-monforte-9535501,https://product-cdn.systembolaget.se/productimages/24478279/24478279,Nebbiolo
Gosset,Grand Millesime Brut,Gosset,2012,12.0,750.0,699.0,Frankrike,Champagne,,Mousserande vin,Torrt vitt,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/gosset-9298701,https://sb-product-media-prod.azureedge.net/productimages/24424876/24424876,
Rålund Superior,Torrt vin av blåbär,IDUNN Norsjö Wine & Co,2019,12.5,750.0,339.0,Sverige,Västerbottens län,Skellefteå kommun,Aperitif & Dessert,Smaksatta viner & fruktviner,"Serveras vid cirka 16°C till smakrika vegetariska rätter eller till rätter av fläsk-, lamm- eller nötkött.","Bärig, nyanserad smak med inslag av blåbär, skogshallon, lingon och mynta.",0.0%,0.0%,83.33333333333334%,41.66666666666667%,41.66666666666667%,https://www.systembolaget.se/produkt/vin/rålund-superior-3538601,https://product-cdn.systembolaget.se/productimages/24527113/24527113,
Arbois Vin Jaune,Domaine Maire & Fils,Domaine Maire & Fils,2013,13.0,620.0,469.0,Frankrike,Jura,Arbois,Vitt vin,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/arbois-vin-jaune-9549201,,Savagnin
Veronica Ortega,Kinki,Veronica Ortega Camacho,2019,11.0,750.0,249.0,Spanien,Kastilien-León,Bierzo,Rött vin,Fruktigt & Smakrikt,"Serveras vid cirka 16°C till vegetariska rätter, eller till rätter av fisk eller ljust kött, gärna kallskuret.","Fruktig smak med inslag av körsbär, viol, hallon, mineral, blodapelsin och kryddor.",0.0%,0.0%,83.33333333333334%,50.0%,41.66666666666667%,https://www.systembolaget.se/produkt/vin/veronica-ortega-9320301,https://product-cdn.systembolaget.se/productimages/24531553/24531553,Mencía---Godello
Veronica Ortega,ROC,Bodegas Ortega Esquerro,2017,13.5,750.0,295.0,Spanien,Kastilien-León,Bierzo,Rött vin,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/veronica-ortega-9320401,,Mencía
Alheit Huilkrans,,Alheit Vineyards,2019,14.0,750.0,569.0,Sydafrika,Western Cape,Olifants River,Vitt vin,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/alheit-huilkrans-9481901,,Chenin blanc
Châteauneuf-du-Pape Omnia,,Rotem & Mounir Saouma,2017,14.5,750.0,769.0,Frankrike,Rhonedalen,Châteauneuf-du-Pape,Rött vin,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/châteauneuf-du-pape-omnia-9218601,https://product-cdn.systembolaget.se/productimages/24532369/24532369,
Roero Arneis,Matteo Correggia,Matteo Correggia,2019,13.0,750.0,149.0,Italien,Piemonte,Roero,Vitt vin,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/roero-arneis-9553701,,Arneis
Paternoster Don Anselmo,,Tommasi Viticoltori,2015,14.0,750.0,369.0,Italien,Basilicata,Aglianico del Vulture,Rött vin,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/paternoster-don-anselmo-9324701,https://product-cdn.systembolaget.se/productimages/24533552/24533552,Aglianico
Tardieu-Laurent Vacqueyras,Blanc Organic,Maison Tardieu Laurent,2019,13.0,750.0,269.0,Frankrike,Rhonedalen,Vacqueyras,Vitt vin,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/tardieu-laurent-vacqueyras-9203201,,Marsanne---Clairette---Grenache blanc---Roussanne---Viognier
Sancerre,Côte de Champtin Rouge,Domaine Roger Champault,2018,14.0,750.0,255.0,Frankrike,Loiredalen,Sancerre,Rött vin,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/sancerre-9330801,https://product-cdn.systembolaget.se/productimages/24538488/24538488,Pinot noir
Château Tronquoy-Lalande,,Chateau Tronquoy Lalande,2016,14.5,750.0,449.0,Frankrike,Bordeaux,Haut-Médoc,Rött vin,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/château-tronquoy-lalande-9340501,,
Pouilly-Fuissé,,Domaine Jules Desjourneys,2017,12.5,750.0,459.0,Frankrike,Bourgogne,Mâconnais,Vitt vin,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/pouilly-fuissé-9343701,,Chardonnay
Barolo Coste di Rose,G.D. Vajra,G.D. Vajra,2016,14.0,750.0,499.0,Italien,Piemonte,Barolo,Rött vin,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/barolo-coste-di-rose-9344001,,Nebbiolo
Lamoresca,Rosso,Azienda Agricola Lamoresca,2019,13.5,750.0,262.0,Italien,Sicilien,Terre Siciliane,Rött vin,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/lamoresca-9345101,,Frappato---Grenache---Nero d'avola
Catena Alta,Chardonnay,Bodega Catena Zapata,2019,14.0,750.0,199.0,Argentina,Cuyo,Mendoza,Vitt vin,Fylligt & Smakrikt,"Serveras vid 10-12°C till smakrika rätter av fisk, eller till ljust kött, eller till lamm.","Fruktig, nyanserad smak med fatkaraktär, inslag av gula äpplen, ananas, mango, apelsin, smör, hasselnötter och vanilj.",0.0%,8.333333333333332%,75.0%,58.333333333333336%,0.0%,https://www.systembolaget.se/produkt/vin/catena-alta-9349701,,Chardonnay
Trousseau de la Vallee,,EARL COURBET,2019,13.0,750.0,279.0,Frankrike,Jura,Côtes du Jura,Rött vin,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/trousseau-de-la-vallee-9059301,https://product-cdn.systembolaget.se/productimages/24514525/24514525,Trousseau gris
Arilds Vingård Solaris,,Arilds vingård,2019,12.5,750.0,148.0,Sverige,Skåne län,Höganäs kommun,Vitt vin,Friskt & Fruktigt,"Serveras vid 8-10°C som aperitif eller till rätter av fisk eller skaldjur, eller till sallader.","Fruktig, ungdomlig, mycket frisk smak med inslag av gröna äpplen, mineral, päron, fläder och citron.",0.0%,8.333333333333332%,83.33333333333334%,33.33333333333333%,0.0%,https://www.systembolaget.se/produkt/vin/arilds-vingård-solaris-3172701,https://product-cdn.systembolaget.se/productimages/2696694/2696694,Solaris
Brunello di Montalcino,La Fuga,Folonari,2015,14.5,750.0,325.0,Italien,Toscana,Brunello di Montalcino,Rött vin,Stramt & Nyanserat,Serveras vid cirka 18°C till rätter av mörkt kött.,"Komplex, kryddig, utvecklad smak med fatkaraktär, inslag av torkade körsbär, ceder, nougat, tobak, pomerans, kakao och kanel.",0.0%,0.0%,83.33333333333334%,75.0%,75.0%,https://www.systembolaget.se/produkt/vin/brunello-di-montalcino-1233001,https://product-cdn.systembolaget.se/productimages/857333/857333,Sangiovese
