nameBold,nameThin,producer,year,alcoholPercentage,volume,price,country,region,district,type,categoryTaste,usage,taste,tasteBitter,tasteSweetness,tasteFruitAcid,tasteBody,tasteRoughness,url,imageURL,grapes
Corvina di Verona,Selezione di famiglia,Casa Vitivinicola Tinazzi,2015,14.0,750.0,176.0,Italien,Venetien,Veronese,Rött vin,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/corvina-di-verona-7214401,,
Mencia de Bierzo,Luna Beberide,Luna Beberide,2016,13.5,750.0,125.0,Spanien,Kastilien-León,Bierzo,Rött vin,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/mencia-de-bierzo-7941701,,
Château d'Eck,,Michel Gonet & Fils,2012,13.0,750.0,249.0,Frankrike,Bordeaux,Graves,Rött vin,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/château-d'eck-7138201,,
Luigi Bosca,Grand Pinot Noir,Bodega Luigi Bosca,2014,12.5,750.0,258.0,Argentina,Cuyo,Mendoza,Rött vin,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/luigi-bosca-7547101,,
La Linda,Chardonnay Unoaked,Bodega Luigi Bosca-Familia Arizu,2017,13.5,750.0,129.0,Argentina,Cuyo,Mendoza,Vitt vin,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/la-linda-7279501,,
Sangría Rita,,Sangrias Mediterraneas S.L.,2018,7.0,750.0,178.0,Spanien,Balearerna,Mallorca,Aperitif & Dessert,Smaksatta viner & fruktviner,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/sangría-rita-8316301,https://product-cdn.systembolaget.se/productimages/11894881/11894881,
Memòries Biniaugal,Blanc,Biniagual,2018,12.0,750.0,223.0,Spanien,Balearerna,Mallorca,Vitt vin,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/memòries-biniaugal-7475401,https://product-cdn.systembolaget.se/productimages/11894884/11894884,
Abdyika,Melnik Tradition Reserve,Damiannitza AD,2014,14.0,750.0,139.0,Bulgarien,Trakien,,Rött vin,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/abdyika-7520201,,
Sant' Antimo,Rosso,Tenuta di Collosorbo,2015,13.5,750.0,159.0,Italien,Toscana,Sant'Antimo,Rött vin,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/sant'-antimo-7415801,,
Di Lenardo,Pass the Cookies,Di Lenardo,2016,12.0,500.0,198.0,Italien,,,Vitt vin,Sött,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/di-lenardo-7110502,,
5 Wingert,Riesling Trocken,Weinbau der Lebenshilfe e.V.,2015,12.0,750.0,134.0,Tyskland,Pfalz,,Vitt vin,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/5-wingert-7412401,,
Contraste,Tinto,Conceito Vinhos Lda,2016,13.5,750.0,170.0,Portugal,Douro,,Rött vin,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/contraste-7736701,,
Domaines des Baumard,Clos de la Folie,Domaine des Baumard,2015,12.5,750.0,199.0,Frankrike,Loiredalen,Anjou-Saumur,Rött vin,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/domaines-des-baumard-7294001,,
Luddite,Saboteur White Blend,Luddite Wines,2017,12.5,750.0,219.0,Sydafrika,Western Cape,Cape South Coast,Vitt vin,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/luddite-7855301,https://product-cdn.systembolaget.se/productimages/1194284/1194284,
Jakkalsvlei,Mount Cuvée Pinotage Merlot,Jakkalsvlei,2016,14.0,750.0,156.0,Sydafrika,Western Cape,,Rött vin,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/jakkalsvlei-7740901,,
Puerta Vieja,Crianza,Bodegas Riojanas,2016,13.0,750.0,158.0,Spanien,Rioja,,Rött vin,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/puerta-vieja-7047801,,
Chablis Premier Cru Les Lys,Albert Bichot,Albert Bichot,2018,13.0,750.0,309.0,Frankrike,Bourgogne,Chablis,Vitt vin,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/chablis-premier-cru-les-lys-7814501,https://product-cdn.systembolaget.se/productimages/1196558/1196558,
Vietti,Perbacco Nebbiolo,Vietti s.r.l.,2017,14.0,1500.0,499.0,Italien,Piemonte,Langhe,Rött vin,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/vietti-7883406,,
The Taste of Canto alla Moraia,Toscana,Azienda Tenuta Canto Alla Moraia,,13.5,4500.0,1410.0,Italien,Toscana,,Blandlådor vin,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/the-taste-of-canto-alla-moraia-7666909,,
Morella,Negroamaro Primitivo,Morella,2017,14.0,750.0,284.0,Italien,Apulien,Salento,Rött vin,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/morella-7591101,,
Jacquinot & Fils,Blanc de Blanc,Champagne Jacquinot,,12.0,750.0,375.0,Frankrike,Champagne,,Mousserande vin,Torrt vitt,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/jacquinot-&-fils-7632401,https://product-cdn.systembolaget.se/productimages/1202662/1202662,
Robbione,,Terre di Serrapetrona,2011,15.0,750.0,329.0,Italien,Marche,Serrapetrona,Rött vin,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/robbione-7932201,,
Bourgogne Blanc,Chardonnay,Clotilde Davenne,2016,13.0,1500.0,279.0,Frankrike,Bourgogne,,Vitt vin,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/bourgogne-blanc-7321406,,
